Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
843,17,22,10,2.053
844,21,20,10,1.769
845,20,22,10,1.099
846,17,23,10,1.156
847,15,23,10,1.156
848,19,20,-20,2.844
849,20,26,10,3.868
850,22,20,-10,3.165
851,17,21,-10,2.836
852,17,21,-10,1.472
853,20,20,0,-0.127
854,18,23,20,0.0
855,19,21,-10,-0.389
856,18,20,-10,-0.263
857,19,21,-10,0.268
858,15,19,-10,0.543
859,21,24,20,0.552
860,16,19,-20,0.561
861,19,21,-10,0.712
862,26,15,-10,0.578
863,19,26,10,0.441
864,12,20,-20,0.298
865,14,17,-10,0.605
866,16,25,10,0.46
867,14,18,-10,0.623
868,9,21,-10,0.473
869,19,19,0,0.64
870,18,17,10,1.148
871,19,17,10,0.997
872,12,25,10,1.699
873,20,21,-10,1.033
874,25,17,-10,0.7
875,23,10,-10,0.89
876,21,12,15.0,0.542
877,14,18,-10,1.106
878,20,19,10,0.939
879,17,20,-10,0.571
880,21,20,15.0,-0.193
881,19,20,-10,-0.394
882,18,17,10,-0.201
883,21,16,15.0,-0.612
884,15,19,-10,-0.416
885,17,17,0,0.0
886,20,24,10,-0.653
887,21,25,10,-0.446
888,23,12,-10,0.0
889,18,21,-10,-0.234
890,16,26,20,-0.241
891,23,20,-10,-0.739
892,20,19,10,-0.761
893,19,24,10,-0.784
894,15,18,-10,-0.536
895,16,18,-20,-0.275
896,18,21,-10,-0.565
897,22,20,-10,-1.162
898,14,20,-10,2.419
899,14,20,-10,2.419
900,15,20,-10,2.419
901,15,26,10,0.963
902,19,17,10,0.658
903,23,14,-10,1.711
904,20,17,10,1.769
905,17,21,-10,0.727
906,14,20,-10,0.754
907,14,20,-10,2.419
908,14,20,-10,2.419
909,15,20,-10,2.419
910,12,18,-10,2.419
911,17,18,-10,2.419
912,20,24,10,0.846
913,20,20,0,0.897
914,18,22,10,1.891
915,25,20,-10,-0.253
916,17,23,10,-0.128
917,17,20,-10,0.261
918,17,20,-10,0.0
919,17,18,-10,-0.266
920,20,23,20,-0.27
921,12,24,10,-0.274
922,20,21,-10,0.0
923,17,23,10,0.0
924,17,18,-20,0.0
925,12,22,10,-0.145
926,18,20,-10,0.148
927,21,17,20,-1.126
928,19,17,20,-1.126
929,21,17,20,-1.126
930,19,17,20,-1.126
931,19,18,10,-1.126
932,23,18,-10,-1.126
933,24,18,-10,-0.934
934,26,17,20,-1.106
935,21,17,20,-1.126
936,19,17,20,-1.126
937,19,18,10,-1.126
938,23,18,-10,-1.126
939,16,22,10,-1.126
940,16,22,10,-1.126
941,13,22,10,-1.126
942,17,18,-10,-0.662
943,17,23,10,-0.678
944,17,18,-10,-0.173
945,26,20,-10,-0.703
946,27,26,20,-0.9
947,18,17,10,-0.553
948,20,26,10,-0.945
949,18,18,0,-0.77
950,22,15,-10,-0.785
951,15,25,10,-1.0
952,20,19,10,-1.625
953,13,25,10,-1.657
954,12,25,10,-1.273
955,15,26,10,-1.305
956,21,17,20,-1.126
957,19,17,20,-1.126
958,19,18,10,-1.126
959,23,18,-10,-1.126
960,16,22,10,-1.126
961,16,22,10,-1.126
962,13,22,10,-1.126
963,19,20,-20,-1.126
964,18,20,-10,-1.126
965,19,20,-10,-1.15
966,21,20,15.0,-2.108
967,18,21,-10,-1.221
968,20,21,-10,-1.75
969,18,18,0,-1.793
970,21,20,20,-1.327
971,17,18,-10,-1.361
972,20,21,-20,-0.565
973,18,20,-10,-0.581
974,13,17,-10,-0.299
975,19,18,10,-0.918
976,15,24,10,0.957
977,24,20,-10,0.994
978,19,19,0,1.026
979,24,18,-10,0.712
980,18,26,10,0.743
981,12,26,10,1.955
982,17,18,-10,1.209
983,23,10,-10,1.258
984,17,22,10,0.874
985,19,23,10,1.381
986,20,22,10,0.481
987,25,13,-10,0.51
988,19,25,10,0.387
989,17,20,-10,0.392
990,20,18,10,1.2
991,20,24,10,1.081
992,20,21,-10,1.235
993,16,25,10,1.817
994,25,11,-10,2.131
995,7,21,-10,2.155
996,17,18,-10,1.888
997,21,8,15.0,1.91
998,19,25,10,1.644
999,17,17,0,1.819
1000,12,18,-10,1.333
1001,15,18,-10,1.333
1002,20,25,10,2.213
1003,19,23,10,2.254
1004,18,20,-10,1.793
1005,15,23,10,1.994
1006,18,26,10,1.688
1007,13,25,10,1.716
1008,25,13,-10,1.745
1009,17,24,10,1.781
1010,23,19,-10,1.449
1011,20,18,10,1.486
1012,12,18,-10,1.333
1013,15,18,-10,1.333
1014,16,24,10,1.333
1015,19,24,10,1.333
1016,17,22,10,1.564
1017,20,23,10,0.996
1018,16,21,-10,1.631
1019,17,19,-10,1.243
1020,12,17,-10,1.057
1021,22,18,-10,0.863
1022,26,13,-10,0.881
1023,25,18,-10,0.45
1024,18,18,0,0.693
1025,21,21,0,-0.235
1026,24,16,-10,-0.241
1027,20,19,10,-0.981
1028,17,27,10,-1.507
1029,20,20,0,-2.562
1030,16,20,-10,-1.584
1031,19,19,0,-1.896
1032,20,22,10,-2.781
1033,14,23,20,-2.298
1034,18,24,10,-2.377
1035,15,22,10,-2.753
1036,17,20,-10,-2.836
1037,13,26,10,-1.316
1038,20,20,0,-1.699
1039,17,25,10,-2.108
1040,20,25,20,-1.475
1041,19,24,10,-1.541
1042,19,19,0,-0.403
1043,20,19,20,0.846
1044,16,18,-10,1.322
1045,20,20,0,2.811
1046,20,20,0,1.458
1047,19,26,10,-0.38
1048,17,19,-10,-0.257
1049,18,21,-10,0.13
1050,18,20,-10,-0.263
1051,27,20,-10,-0.667
1052,17,24,10,-0.81
1053,21,18,10,-0.821
1054,21,12,15.0,-1.106
1055,15,19,-10,-0.981
1056,21,20,10,-0.855
1057,18,25,10,-0.724
1058,19,23,10,-1.028
1059,18,19,-10,-1.043
1060,17,18,-10,-1.058
1061,19,19,0,-0.923
